,pNCI,sNCI,codedUsefulness
178,24757762,24758537,7.514986223908759
179,24757762,24758538,49.06879348644133
180,24757762,24758802,2.324398105297257
181,24757762,24760070,42.76598555750537
243,24757763,24757766,0.9598146280525288
244,24757763,24757767,18.3283204308447
245,24757763,24757768,0.35108116046830856
249,24757763,24758279,23.802599855429044
253,24757763,24758533,0.5630462070862058
254,24757763,24758534,2.1569094856713895
255,24757763,24758536,1.2728772642501633
258,24757763,24758790,17.637724625618308
259,24757763,24758791,1.4459134694872162
260,24757763,24758792,67.30410293415812
261,24757763,24758793,0.7459360073186283
262,24757763,24758794,5.354659566913068
263,24757763,24758795,491.3449954589995
264,24757763,24758796,0.6300636798347289
265,24757763,24758797,135.58465284909846
268,24757763,24758800,72.15598985378361
269,24757763,24758801,282.20359400996614
274,24757763,24759307,19.6261952619426
279,24757763,24759816,491.3449954589995
280,24757763,24759819,20.205589665005164
281,24757763,24759821,491.3449954589995
282,24757763,24759822,491.3449954589995
283,24757763,24760071,9.824381625475509
285,24757763,24760073,1.0376000028149055
286,24757763,24760074,7.1748620607528855
287,24757763,24760075,9.765684698733612
290,24757763,24760324,491.3449954589995
291,24757763,24760327,204.02788762289612
298,24757763,24758535,10.88523595609693
301,24757763,24758802,39.994868033716315
305,24757763,24758281,282.20359400996614
306,24757763,24762630,491.3449954589995
364,24757764,24757766,2.561249515429187
365,24757764,24757767,12.609359594124058
366,24757764,24757768,0.35449531897250897
374,24757764,24758533,0.27688870136693916
375,24757764,24758534,7.802108027633196
376,24757764,24758536,2.4490784652928173
377,24757764,24758788,265.0104753815867
378,24757764,24758789,191.59758641526057
379,24757764,24758790,73.12856269635438
380,24757764,24758791,5.515572793966216
382,24757764,24758793,0.6996516798969149
383,24757764,24758794,3.4011222684885234
384,24757764,24758795,461.4100372453974
385,24757764,24758796,0.3492516073793198
389,24757764,24758800,11.778939120173613
390,24757764,24758801,24.617012833128957
399,24757764,24759813,265.0104753815867
400,24757764,24759816,63.20363273998239
401,24757764,24759819,5.498194061032644
402,24757764,24759821,97.2766499224559
404,24757764,24760071,50.21009597930929
406,24757764,24760073,11.683659238317658
408,24757764,24760075,461.4100372453974
485,24757765,24757766,27.413738759908323
486,24757765,24757767,76.38538474266728
487,24757765,24757768,1.0578122457400594
488,24757765,24758022,276.81286731844625
491,24757765,24758279,10.06268399230055
494,24757765,24758287,481.95919514324925
495,24757765,24758533,0.28963366102152494
496,24757765,24758534,14.618694737777124
497,24757765,24758536,0.7835968346803202
501,24757765,24758791,7.037805973446279
502,24757765,24758792,58.35900005321683
503,24757765,24758793,4.126152649840453
504,24757765,24758794,101.60892073946272
506,24757765,24758796,16.48174309057011
514,24757765,24759304,276.81286731844625
516,24757765,24759307,2.675316216324035
517,24757765,24759308,481.95919514324925
522,24757765,24759819,101.60892073946272
525,24757765,24760071,2.040428970425623
526,24757765,24760072,114.94478443406533
527,24757765,24760073,26.253269280631308
528,24757765,24760074,1.371850857954775
529,24757765,24760075,2.2845750601332906
532,24757765,24760324,18.718363449355106
533,24757765,24760327,39.230875628198554
540,24757765,24758535,2.8016884073071906
605,24757766,24757761,0.7081129077345902
618,24757766,24758536,4.519204816560136
622,24757766,24758791,1.1219986412701504
623,24757766,24758792,30.309522627347928
624,24757766,24758793,0.7349008429754839
625,24757766,24758794,0.5998225180440624
626,24757766,24758795,20.597722756660346
627,24757766,24758796,0.6411186031484616
628,24757766,24758797,77.28647274049565
630,24757766,24758799,61.39775588797448
631,24757766,24758800,257.4385010774304
632,24757766,24758801,448.2264642540795
637,24757766,24759307,30.309522627347928
643,24757766,24759819,186.12319149198595
646,24757766,24760071,54.27440437873834
648,24757766,24760073,46.46632840712903
650,24757766,24760075,448.2264642540795
654,24757766,24760327,123.68626955667789
657,24757766,24757762,2.7628330570132302
670,24757766,24757764,10.827945355354844
675,24757766,24758273,123.68626955667789
678,24757766,24758786,84.92303467729641
679,24757766,24758787,1.3358999780372587
680,24757766,24759810,448.2264642540795
726,24757767,24757761,3.9483269516884105
739,24757767,24758536,10.602475409444548
743,24757767,24758791,10.75641485662377
744,24757767,24758792,2.005213513157112
745,24757767,24758793,1.2143042673961757
746,24757767,24758794,9.024127822842873
747,24757767,24758795,3.057461494904269
748,24757767,24758796,1.634989406971101
749,24757767,24758797,152.4522010513761
750,24757767,24758798,4.9529425856162
751,24757767,24758799,1.404052286500829
752,24757767,24758800,15.267749050607003
753,24757767,24758801,5.167917082532674
758,24757767,24759307,12.409418471439118
764,24757767,24759819,11.516608220476716
765,24757767,24759821,462.1486534690053
766,24757767,24759822,462.1486534690053
767,24757767,24760071,3.5677674784801683
770,24757767,24760074,152.4522010513761
771,24757767,24760075,127.52804103912445
772,24757767,24760077,52.95520879699373
778,24757767,24757762,1.2507476062118152
783,24757767,24758537,87.56079628168249
785,24757767,24758802,35.19084417794101
786,24757767,24760070,265.43469900210397
791,24757767,24757764,21.98931400407101
799,24757767,24758786,2.976852012516737
800,24757767,24758787,2.293972837961103
801,24757767,24759810,3.7766450088951764
803,24757767,24762625,152.4522010513761
805,24757767,24758529,127.52804103912445
807,24757767,24759811,265.43469900210397
808,24757767,24759820,59.3781975343038
847,24757768,24757761,1.5482264553657334
860,24757768,24758536,2.1395248424786293
864,24757768,24758791,2.730028627332006
865,24757768,24758792,21.431052159618446
866,24757768,24758793,2.571537670035324
867,24757768,24758794,9.40409631030389
868,24757768,24758795,203.48035797111248
869,24757768,24758796,0.5154400579481558
870,24757768,24758797,161.64843476107467
873,24757768,24758800,8.166694689127121
874,24757768,24758801,20.45496784289824
879,24757768,24759307,31.41449927052779
885,24757768,24759819,18.773181867415605
886,24757768,24759821,103.30969151951516
887,24757768,24759822,490.0264210355723
888,24757768,24760071,116.8687762377855
890,24757768,24760073,0.6414820869790648
891,24757768,24760074,14.426746972212573
892,24757768,24760075,2.4530564771585643
899,24757768,24757762,0.968067786438143
904,24757768,24758537,490.0264210355723
906,24757768,24758802,22.518590866173906
912,24757768,24757764,1.0792112753976375
917,24757768,24758273,135.22079760050116
920,24757768,24758786,12.717522373189052
921,24757768,24758787,5.527953402636878
922,24757768,24759810,38.55231869201966
925,24757768,24758020,281.4462718743806
926,24757768,24758529,1.643472538505277
971,24758017,24757768,81.8513492877373
972,24758017,24758022,2.59499715103014
973,24758017,24758024,0.6654519154336038
974,24758017,24758025,2.3665725153266615
978,24758017,24758287,2.306275815730903
981,24758017,24758536,25.132945940456615
987,24758017,24758793,12.596078503967922
990,24758017,24758796,91.07924052977845
998,24758017,24759304,49.502237027442945
1000,24758017,24759307,0.5934887495594969
1003,24758017,24759310,432.01401157038066
1006,24758017,24759819,31.88006176978027
1007,24758017,24759821,18.033380109747547
1010,24758017,24760072,0.9044547712316183
1011,24758017,24760073,432.01401157038066
1016,24758017,24760324,1.6366074741670058
1017,24758017,24760327,27.695453283223188
1019,24758017,24760329,119.212509186104
1021,24758017,24758026,13.375352992894102
1023,24758017,24758282,91.07924052977845
1024,24758017,24758535,248.1268922133781
1028,24758017,24760070,19.20175696460652
1030,24758017,24758021,0.7386976666598248
1031,24758017,24758281,24.040110154572453
1037,24758017,24762629,432.01401157038066
1052,24758017,24758023,13.807417494252228
1053,24758017,24759824,432.01401157038066
1092,24758018,24757768,448.08693307658916
1093,24758018,24758022,0.6992721838029806
1094,24758018,24758024,5.322677277990814
1095,24758018,24758025,1.0041295573988482
1096,24758018,24758279,71.01699298638805
1098,24758018,24758286,186.06525205702067
1099,24758018,24758287,5.05483700479499
1102,24758018,24758536,48.760291499433265
1108,24758018,24758793,65.80336931382709
1117,24758018,24759301,448.08693307658916
1119,24758018,24759304,34.12009820153629
1121,24758018,24759307,0.4675737987594942
1123,24758018,24759309,448.08693307658916
1127,24758018,24759819,48.760291499433265
1128,24758018,24759821,33.066147676059515
1130,24758018,24760071,18.42668753660227
1131,24758018,24760072,0.9411404789529572
1137,24758018,24760324,0.9320986594788764
1138,24758018,24760327,22.10993749980684
1140,24758018,24760329,18.158172093273567
1142,24758018,24758026,4.9817102495589225
1145,24758018,24758535,448.08693307658916
1147,24758018,24758538,27.32443102839153
1151,24758018,24758021,2.4663892127643137
1152,24758018,24758281,9.600070333465867
1158,24758018,24762629,8.959442087775749
1173,24758018,24758023,2.1540739384674947
1214,24758019,24758022,2.0469738877365815
1215,24758019,24758024,2.5350525483041237
1216,24758019,24758025,1.4383171111142705
